Series Title,Year Released,Content Rating,IMDB Rating,Genre,Description,No of Seasons,Streaming Platform
Breaking Bad,2008,18+,9.5,"Crime, Drama","When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.Breaking Bad featuring Bryan Cranston and Aaron Paul has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 62 episodes over 5 seasons. Breaking Bad is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.5 (1,391,409 votes) and was very well received by critics.",5Seasons,Netflix
Game of Thrones,2011,18+,9.3,"Action & Adventure, Drama","Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.Game of Thrones featuring Emilia Clarke and Lena Headey has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 74 episodes over 8 seasons. Game of Thrones is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.3 (1,704,731 votes) and was very well received by critics.",8Seasons,"HBO MAX,HBO"
Rick and Morty,2013,18+,9.2,"Animation, Comedy","Rick is a mentally-unbalanced but scientifically-gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.Rick and Morty featuring Justin Roiland and Chris Parnell has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with Adult Swim (Via Cable/Satellite Provider), and 8 others. It's an action & adventure and animation show with 42 episodes over 4 seasons. Rick and Morty is still airing with no announced date for the next episode or season. It has a very high IMDb audience rating of 9.2 (354,057 votes) and was very well received by critics.",4Seasons,"Free Services,HBO MAX,Hulu"
Stranger Things,2016,16+,8.8,"Drama, Fantasy","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.Stranger Things featuring Winona Ryder and David Harbour has one or more episodes streaming with subscription on Netflix. It's an action & adventure and drama show with 25 episodes over 3 seasons. Stranger Things is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (766,806 votes) and was very well received by critics.",3Seasons,Netflix
The Boys,2019,18+,8.7,"Action & Adventure, Comedy","A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.The Boys featuring Karl Urban and Jack Quaid has one or more episodes streaming with subscription on Prime Video, and available for purchase on VUDU. It's an action & adventure and comedy show with 12 episodes over 2 seasons. The Boys has a new episode airing on September 17th, 2020 (PDT). It has a high IMDb audience rating of 8.7 (170,705 votes) and was very well received by critics.",2Seasons,Prime Video
Dark,2017,16+,8.8,"Crime, Drama","A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.Dark has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 26 episodes over 3 seasons. Dark is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (249,219 votes) and was very well received by critics.",3Seasons,Netflix
Chernobyl,2019,18+,9.4,"Drama, History","The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.Chernobyl featuring Jared Harris and Stellan Skarsgård has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on Google Play, and 2 others. It's a drama and history show with 5 episodes over 1 season. Chernobyl is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.4 (494,136 votes) and was very well received by critics.",1Season,"HBO MAX,HBO"
Sherlock,2010,16+,9.1,"Action & Adventure, Crime","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.Sherlock featuring Benedict Cumberbatch and Martin Freeman has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and crime show with 13 episodes over 4 seasons. Sherlock is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.1 (778,486 votes) and was well received by critics.",4Seasons,Netflix
Fargo,2014,18+,8.9,"Crime, Drama","A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.Fargo featuring Ewan McGregor and Michael Stuhlbarg has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and crime show with 30 episodes over 3 seasons. Fargo is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.9 (309,584 votes) and was very well received by critics.",3Seasons,Hulu
Avatar: The Last Airbender,2005,7+,9.2,"Action & Adventure, Animation","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.Avatar: The Last Airbender featuring Olivia Hack and Jennie Kwan has one or more episodes streaming with subscription on Netflix, streaming on CBS All Access, streaming with subscription on Hoopla, and 6 others. It's an action & adventure and animation show with 66 episodes over 3 seasons. Avatar: The Last Airbender is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.2 (232,305 votes) and was very well received by critics.",3Seasons,"Netflix,CBS All Access,Hoopla"
Friends,1994,16+,8.9,"Comedy, Romance","The misadventures of a group of friends as they navigate the pitfalls of work, life and love in Manhattan.Friends featuring Matthew Perry and Matt LeBlanc has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with TBS, and 6 others. It's a comedy and drama show with 238 episodes over 10 seasons. Friends is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.9 (785,332 votes) and was well received by critics.",10Seasons,"HBO MAX,Hulu,TBS"
The Office,2005,16+,8.9,Comedy,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.The Office featuring Rainn Wilson and Jenna Fischer has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), streaming with subscription on fuboTV, and 3 others. It's a comedy show with 224 episodes over 9 seasons. The Office is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.9 (378,896 votes) and was well received by critics.",9Seasons,"Netflix,Comedy Central,fuboTV"
Supernatural,2005,16+,8.4,"Drama, Fantasy","When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way.Supernatural featuring Jensen Ackles and Jared Padalecki has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with TNT, free on The CW, and 6 others. It's a drama and fantasy show with 322 episodes over 15 seasons. Supernatural has a new episode airing on October 8th, 2020 (PDT). It has a high IMDb audience rating of 8.4 (378,738 votes) and was very well received by critics.",15 Seasons,"Free Services,Netflix,TNT"
The Wire,2002,18+,9.3,"Crime, Drama","Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.The Wire featuring Dominic West and Lance Reddick has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's a crime and drama show with 60 episodes over 5 seasons. The Wire is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.3 (274,706 votes) and was very well received by critics.",5Seasons,"HBO MAX,HBO"
Better Call Saul,2015,18+,8.7,"Comedy, Crime","Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".Better Call Saul featuring Bob Odenkirk and Jonathan Banks has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and crime show with 50 episodes over 5 seasons. Better Call Saul is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (305,414 votes) and was very well received by critics.",5Seasons,Netflix
Attack on Titan,2013,18+,8.8,"Action & Adventure, Anime","Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.Attack on Titan featuring Yuki Kaji and Marina Inoue has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, streaming with subscription on Crunchyroll, and 10 others. It's an action & adventure and animation show with 60 episodes over 3 seasons. Attack on Titan is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (146,875 votes) and was very well received by critics.",3Seasons,"Free Services,Netflix,Hulu"
Black Mirror,2011,18+,8.8,"Drama, Science-Fiction","A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.Black Mirror has one or more episodes streaming with subscription on Netflix, and available for purchase on iTunes. It's a drama and fantasy show with 22 episodes over 5 seasons. Black Mirror is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (417,642 votes) and was well received by critics.",5Seasons,Netflix
Band of Brothers,2001,18+,9.4,"Action & Adventure, Drama","Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.Band of Brothers featuring Damian Lewis and Donnie Wahlberg has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 10 episodes over 1 season. Band of Brothers is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.4 (362,057 votes) and was very well received by critics.",1 Season,"HBO MAX,HBO"
House,2004,16+,8.7,"Drama, Mystery","Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.House featuring Hugh Laurie and Omar Epps has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), free on NBC, and 3 others. It's a comedy and drama show with 180 episodes over 8 seasons. House is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.7 (404,083 votes) and was very well received by critics.",8Seasons,"Free Services,Prime Video,NBC"
Lucifer,2016,16+,8.2,"Fantasy, Crime","Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.Lucifer featuring Tom Ellis and Lauren German has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and crime show with 75 episodes over 5 seasons. Lucifer is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (209,541 votes) and was well received by critics.",5Seasons,Netflix
