track_name,track_artist,valence,energy,danceability,tempo,acousticness,speechiness
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,0.518,0.916,0.748,122.036,0.102,0.0583
Memories - Dillon Francis Remix,Maroon 5,0.693,0.815,0.726,99.972,0.0724,0.0373
All the Time - Don Diablo Remix,Zara Larsson,0.613,0.931,0.675,124.008,0.0794,0.0742
Call You Mine - Keanu Silva Remix,The Chainsmokers,0.277,0.93,0.718,121.956,0.0287,0.102
Someone You Loved - Future Humans Remix,Lewis Capaldi,0.725,0.833,0.65,123.976,0.0803,0.0359
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,0.585,0.919,0.675,124.982,0.0799,0.127
Never Really Over - R3HAB Remix,Katy Perry,0.152,0.856,0.449,112.648,0.187,0.0623
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,0.367,0.903,0.542,127.936,0.0335,0.0434
Tough Love - Tiësto Remix / Radio Edit,Avicii,0.366,0.935,0.594,127.015,0.0249,0.0565
If I Can't Have You - Gryffin Remix,Shawn Mendes,0.59,0.818,0.642,124.957,0.0567,0.032
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,0.752,0.923,0.679,121.984,0.146,0.181
Hate Me - R3HAB Remix,Ellie Goulding,0.329,0.774,0.437,123.125,0.148,0.0554
Body On My,Loud Luxury,0.687,0.726,0.744,121.985,0.0399,0.0463
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,0.678,0.915,0.572,123.919,0.0111,0.0625
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,0.238,0.78,0.69,126.07,0.00733,0.0594
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,0.722,0.835,0.805,125.028,0.13,0.0896
All My Friends - Eden Prince Remix,AJ Mitchell,0.368,0.901,0.694,118.051,0.0702,0.0948
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,0.516,0.747,0.678,120.002,0.0395,0.165
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,0.324,0.557,0.746,111.961,0.103,0.0542
Let It Be Me - Sondr Remix,Steve Aoki,0.232,0.821,0.467,122.676,0.00791,0.0934
Heaven - David Guetta & MORTEN Remix,Avicii,0.204,0.934,0.572,125.948,0.00292,0.0446
All Around The World (La La La) - Marnik Remix,R3HAB,0.707,0.913,0.708,135.016,0.089,0.0348
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,0.336,0.818,0.684,123.938,0.0469,0.128
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,0.372,0.85,0.732,124.024,0.114,0.0444
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,0.422,0.889,0.62,110.018,0.0163,0.0352
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,0.468,0.76,0.675,124.933,0.104,0.0434
One Thing Right - Firebeatz Remix,Marshmello,0.348,0.851,0.682,126.0,0.0146,0.0363
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,0.397,0.905,0.663,125.996,0.0325,0.0511
So Am I - Toby Green Remix,Ava Max,0.371,0.938,0.625,127.997,0.00432,0.0517
When You Leave - Breathe Carolina Remix,Nikki Vianna,0.819,0.909,0.679,119.885,0.0334,0.105
Mother - Fedde Le Grand Remix,Charlie Puth,0.358,0.869,0.641,128.091,0.0319,0.0423
Signs - Eden Prince Remix,Starley,0.503,0.814,0.702,121.993,0.107,0.0841
Ruin My Life - Steve James Remix,Zara Larsson,0.643,0.837,0.723,123.952,0.0103,0.0389
Torn - KREAM Remix,Ava Max,0.727,0.864,0.742,125.032,0.00141,0.0976
Quite Miss Home - Steve Void Remix,James Arthur,0.351,0.815,0.716,124.975,0.108,0.0533
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,0.894,0.831,0.748,128.024,0.0823,0.115
Happier - Matt Medved Remix,Marshmello,0.793,0.833,0.816,122.032,0.126,0.0511
Side Effects - Fedde Le Grand Remix,The Chainsmokers,0.659,0.854,0.633,126.026,0.0382,0.0432
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,0.495,0.81,0.563,129.975,0.00522,0.0522
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,0.681,0.815,0.728,124.019,0.00223,0.046
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,0.586,0.773,0.846,124.008,0.0141,0.0473
Higher Love,Kygo,0.404,0.678,0.693,103.952,0.0154,0.0324
Unlove You,Armin van Buuren,0.663,0.928,0.678,116.892,0.0303,0.0597
bad guy (with Justin Bieber),Billie Eilish,0.68,0.453,0.67,135.055,0.252,0.295
Freaking Me Out - Keanu Silva Remix,Ava Max,0.288,0.931,0.755,122.041,0.132,0.0606
Heaven Can Wait - The Aston Shuffle Remix,Sia,0.442,0.859,0.622,121.968,0.000609,0.0636
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,0.41,0.893,0.789,121.956,0.0538,0.168
Gone - The Wild Remix,Charli XCX,0.587,0.838,0.64,124.081,0.0588,0.0416
American Boy - Brooks Remix,Estelle,0.531,0.764,0.609,128.082,0.0994,0.111
Million Pieces - M-22 Remix,Bastille,0.479,0.992,0.64,123.951,0.0832,0.0585
joy. (R3HAB Remix),for KING & COUNTRY,0.48,0.81,0.75,120.038,0.0917,0.0572
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,0.12,0.956,0.535,127.984,0.000609,0.0343
Old Town Road - Diplo Remix,Lil Nas X,0.297,0.771,0.766,140.036,0.00407,0.0576
Lovers + Strangers - GATTÜSO Remix,Starley,0.394,0.821,0.649,125.977,0.017,0.0472
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,0.225,0.697,0.588,125.157,0.186,0.0372
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,0.169,0.789,0.355,80.444,0.0148,0.165
What Am I - SONDR Remix,Why Don't We,0.509,0.84,0.542,118.02,0.0336,0.0419
Cool Kids,Olympis,0.119,0.5,0.735,126.1,0.415,0.0511
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,0.461,0.84,0.752,124.002,0.00486,0.0373
All Star - Breathe Carolina Remix,Smash Mouth,0.751,0.903,0.748,115.018,0.0324,0.0385
Trampoline - Dave Audé Remix,SHAED,0.501,0.955,0.607,125.984,0.0163,0.102
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,0.664,0.995,0.607,124.998,0.0921,0.0487
With You - Dexter Remix,Kaskade,0.47,0.786,0.679,126.092,0.119,0.132
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,0.292,0.801,0.714,124.015,0.0204,0.0301
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,0.453,0.862,0.69,121.975,0.0611,0.0944
Talk - Disclosure VIP,Khalid,0.565,0.867,0.775,128.956,0.0158,0.204
Spicy - Majestic Remix,Herve Pagez,0.959,0.838,0.814,121.978,0.001,0.0763
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,0.459,0.779,0.784,124.994,0.0357,0.0387
Treehouse - R3HAB Remix,James Arthur,0.289,0.783,0.367,88.013,0.00515,0.154
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,0.604,0.83,0.609,117.833,0.201,0.0793
Call You Mine,The Chainsmokers,0.501,0.702,0.591,104.003,0.225,0.0289
Post Malone (feat. RANI),Sam Feldt,0.651,0.642,0.59,107.356,0.0771,0.122
Here With Me,Marshmello,0.181,0.565,0.791,99.961,0.0623,0.0439
Easier - Seeb Remix,5 Seconds of Summer,0.717,0.747,0.564,97.878,0.0728,0.0584
Sixteen,Ellie Goulding,0.541,0.801,0.669,109.919,0.268,0.136
Never Really Over,Katy Perry,0.385,0.882,0.77,99.991,0.194,0.0602
All You Need To Know (feat. Calle Lehmann),Gryffin,0.234,0.788,0.513,139.987,0.00968,0.0364
I Miss Myself (with HRVY),NOTD,0.659,0.864,0.72,96.048,0.0856,0.208
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,0.491,0.858,0.789,110.012,0.22,0.0404
Takeaway (feat. Lennon Stella),The Chainsmokers,0.357,0.505,0.294,85.332,0.12,0.042
All the Time,Zara Larsson,0.5,0.799,0.665,101.976,0.18,0.0617
